date,name,rank_day,rank_week,rank_month,rank_quarter,rank_half,rank_year,rank_ytd,rank_week_delta_5d,rank_month_delta_5d,rank_ytd_delta_5d,perf_week_delta_5d,perf_month_delta_5d,perf_ytd_delta_5d,rank_week_delta_10d,rank_month_delta_10d,rank_ytd_delta_10d,perf_week_delta_10d,perf_month_delta_10d,perf_ytd_delta_10d,rank_week_delta_20d,rank_month_delta_20d,rank_ytd_delta_20d,perf_week_delta_20d,perf_month_delta_20d,perf_ytd_delta_20d,rank_week_delta_50d,rank_month_delta_50d,rank_ytd_delta_50d,perf_week_delta_50d,perf_month_delta_50d,perf_ytd_delta_50d,momentum_score,momentum_confirmed,momentum_weighted_mid,momentum_weighted_fast,momentum_accel,regime_short_long,rank_trend_slope,rank_agreement,rs_day,rs_week,rs_month,rs_quarter,rs_half,rs_year,rs_ytd,rs_score,rs_agreement,rs_confirmed,rs_slope,rs_accel,rs_regime_short_long,beats_benchmark_day,beats_benchmark_week,beats_benchmark_month,beats_benchmark_quarter,beats_benchmark_half,beats_benchmark_year,beats_benchmark_ytd,rs_new_high,rs_cross
2026-06-10,Technology,9.0,11.0,6.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.6142857142857142,,,,,,,0.5641101056459328,,,,,,,,,,,,,,,,,,,,,,
2026-06-10,Utilities,4.0,5.0,8.0,10.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,0.41428571428571426,,,,,,,0.735424868893541,,,,,,,,,,,,,,,,,,,,,,
2026-06-11,Basic Materials,1.0,10.0,11.0,10.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.2450165564729252,,,,,,,,,,,,,,,,,,,,,,
2026-06-11,Communication Services,11.0,9.0,10.0,5.0,10.0,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,0.2571428571428572,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,
2026-06-11,Consumer Cyclical,7.0,8.0,9.0,8.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,0.17142857142857143,,,,,,,0.735424868893541,,,,,,,,,,,,,,,,,,,,,,
2026-06-11,Consumer Defensive,9.0,1.0,7.0,9.0,6.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,0.41428571428571426,,,,,,,0.735424868893541,,,,,,,,,,,,,,,,,,,,,,
2026-06-11,Energy,5.0,6.0,5.0,7.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.7142857142857143,,,,,,,0.47084973778708195,,,,,,,,,,,,,,,,,,,,,,
2026-06-11,Financial,8.0,5.0,2.0,2.0,9.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,0.4714285714285714,,,,,,,0.30000000000000004,,,,,,,,,,,,,,,,,,,,,,
2026-06-11,Healthcare,3.0,3.0,1.0,6.0,8.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,0.37550020016016017,,,,,,,,,,,,,,,,,,,,,,
2026-06-11,Industrials,2.0,7.0,6.0,3.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.7142857142857143,,,,,,,0.639444872453601,,,,,,,,,,,,,,,,,,,,,,
2026-06-11,Real Estate,10.0,2.0,4.0,4.0,5.0,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5428571428571429,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,
2026-06-11,Technology,4.0,11.0,3.0,1.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.7285714285714286,,,,,,,0.735424868893541,,,,,,,,,,,,,,,,,,,,,,
2026-06-11,Utilities,6.0,4.0,8.0,11.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,0.3857142857142857,,,,,,,0.6394448724536012,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,Basic Materials,1.0,1.0,10.0,7.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,0.7142857142857143,,,,,,,0.30000000000000004,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,Communication Services,4.0,11.0,11.0,5.0,9.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,0.3428571428571428,,,,,,,0.47084973778708195,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,Consumer Cyclical,11.0,8.0,9.0,6.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,,,,,,,0.5641101056459328,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,Consumer Defensive,9.0,3.0,6.0,10.0,6.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,0.38571428571428573,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,Energy,6.0,9.0,7.0,9.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5857142857142856,,,,,,,0.2788897449072023,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,Financial,2.0,2.0,1.0,2.0,8.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,0.6571428571428571,,,,,,,0.34425614756980005,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,Healthcare,10.0,7.0,2.0,8.0,10.0,6.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,0.34285714285714286,,,,,,,0.2788897449072023,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,Industrials,8.0,5.0,5.0,3.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.6428571428571429,,,,,,,0.8267949192431122,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,Real Estate,3.0,4.0,4.0,4.0,5.0,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,0.6142857142857144,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,Technology,7.0,6.0,3.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.7714285714285715,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,Utilities,5.0,10.0,8.0,11.0,7.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,0.6394448724536012,,,,,,,,,,,,,,,,,,,,,,
2026-06-15,Basic Materials,4.0,1.0,7.0,6.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,0.7000000000000001,0.5147974082254787,0.6411764705882355,0.7428571428571428,,-1.1102230246251565e-16,0.2,0.735424868893541,,,,,,,,,,,,,,,,,,,,,,
2026-06-15,Communication Services,3.0,9.0,10.0,4.0,8.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,0.42857142857142855,0.2017927447658923,0.39999999999999997,0.43571428571428567,,-0.3833333333333333,-0.0,0.47084973778708206,,,,,,,,,,,,,,,,,,,,,,
2026-06-15,Consumer Cyclical,5.0,8.0,9.0,7.0,11.0,9.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,0.24285714285714285,0.158728960775226,0.23529411764705882,0.32857142857142857,,0.04999999999999996,-0.0,0.6535898384862247,,,,,,,,,,,,,,,,,,,,,,
2026-06-15,Consumer Defensive,9.0,6.0,8.0,9.0,6.0,11.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,0.31428571428571433,0.23113353022368435,0.3058823529411765,0.32857142857142857,,0.1666666666666667,-0.1,0.735424868893541,,,,,,,,,,,,,,,,,,,,,,
2026-06-15,Energy,11.0,11.0,11.0,10.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.38571428571428573,0.017766308024892388,0.32941176470588235,0.19285714285714287,,-0.6,-0.2,0.04606079858305434,,,,,,,,,,,,,,,,,,,,,,
2026-06-15,Financial,7.0,3.0,2.0,3.0,9.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5428571428571429,0.18688190868074864,0.623529411764706,0.5928571428571429,,0.3500000000000001,0.3,0.34425614756980005,,,,,,,,,,,,,,,,,,,,,,
2026-06-15,Healthcare,8.0,10.0,4.0,8.0,10.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,0.27142857142857146,0.1278020716850651,0.3235294117647059,0.2714285714285714,,0.16666666666666666,-0.3,0.47084973778708195,,,,,,,,,,,,,,,,,,,,,,
2026-06-15,Industrials,1.0,2.0,1.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.8857142857142856,0.7323040713296136,0.8941176470588235,0.9214285714285716,,0.11666666666666659,-0.0,0.8267949192431123,,,,,,,,,,,,,,,,,,,,,,
2026-06-15,Real Estate,10.0,7.0,5.0,5.0,5.0,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,0.42857142857142866,0.42857142857142866,0.488235294117647,0.36428571428571427,,0.06666666666666665,-0.1,1.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-15,Technology,2.0,5.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.8857142857142858,0.7323040713296138,0.8882352941176471,0.8214285714285714,,-0.2666666666666667,0.2,0.8267949192431123,,,,,,,,,,,,,,,,,,,,,,
2026-06-15,Utilities,6.0,4.0,6.0,11.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,0.41428571428571426,0.2244361497804009,0.37058823529411766,0.5000000000000001,,0.3333333333333333,-0.0,0.5417424305044161,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,Basic Materials,3.0,1.0,6.0,5.0,4.0,1.0,4.0,10.0,4.0,0.0,12.03,8.5,7.519999999999998,,,,,,,,,,,,,,,,,,,0.7571428571428571,0.6260018674269279,0.7058823529411765,0.7999999999999998,,-0.016666666666666607,0.17142857142857143,0.8267949192431123,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,Communication Services,5.0,6.0,10.0,4.0,8.0,4.0,8.0,3.0,1.0,0.0,5.41,2.78,1.94,,,,,,,,,,,,,,,,,,,0.4571428571428572,0.21524559441695182,0.4352941176470587,0.4714285714285715,,-0.26666666666666666,-0.0,0.47084973778708206,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,Consumer Cyclical,9.0,7.0,8.0,7.0,11.0,9.0,11.0,1.0,1.0,0.0,4.71,4.449999999999999,1.6600000000000001,,,,,,,,,,,,,,,,,,,0.21428571428571433,0.13702390124005742,0.24705882352941178,0.2571428571428572,,0.14999999999999994,-0.0,0.6394448724536012,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,Consumer Defensive,6.0,8.0,9.0,9.0,6.0,11.0,6.0,-6.0,-2.0,0.0,-0.08999999999999986,1.51,2.7299999999999995,,,,,,,,,,,,,,,,,,,0.31428571428571433,0.22000000000000003,0.27647058823529413,0.3428571428571429,,0.01666666666666669,-0.08571428571428572,0.7,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,Energy,10.0,11.0,11.0,11.0,1.0,5.0,1.0,-7.0,-8.0,0.0,-4.19,-8.83,-6.09,,,,,,,,,,,,,,,,,,,0.38571428571428573,0.0,0.31176470588235294,0.21428571428571427,,-0.5333333333333333,-0.08571428571428572,0.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,Financial,1.0,3.0,2.0,3.0,9.0,6.0,9.0,2.0,2.0,1.0,3.1999999999999997,5.88,4.609999999999999,,,,,,,,,,,,,,,,,,,0.6285714285714287,0.21638957847244578,0.6588235294117648,0.7642857142857142,,0.3500000000000001,0.2571428571428571,0.34425614756980005,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,Healthcare,8.0,10.0,3.0,8.0,10.0,8.0,10.0,-9.0,-1.0,-1.0,-2.49,1.33,0.78,,,,,,,,,,,,,,,,,,,0.28571428571428575,0.10728577147433149,0.3470588235294118,0.2857142857142857,,0.2166666666666667,-0.2571428571428571,0.37550020016016017,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,Industrials,2.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,1.0,5.279999999999999,8.25,7.449999999999999,,,,,,,,,,,,,,,,,,,0.8857142857142858,0.7323040713296138,0.9,0.9000000000000001,,0.11666666666666659,0.14285714285714285,0.8267949192431123,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,Real Estate,7.0,9.0,4.0,6.0,5.0,10.0,5.0,-6.0,2.0,0.0,-1.03,5.1899999999999995,2.62,,,,,,,,,,,,,,,,,,,0.4428571428571429,0.3661520356648069,0.48235294117647054,0.39999999999999997,,0.04999999999999988,-0.08571428571428572,0.8267949192431123,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,Technology,11.0,5.0,5.0,1.0,2.0,2.0,3.0,5.0,-4.0,-1.0,7.68,-2.89,-0.10999999999999943,,,,,,,,,,,,,,,,,,,0.6857142857142857,0.43847648396818356,0.7529411764705882,0.5142857142857143,,-0.33333333333333326,-0.05714285714285714,0.639444872453601,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,Utilities,4.0,4.0,7.0,10.0,7.0,7.0,7.0,3.0,1.0,0.0,2.1,6.6899999999999995,3.23,,,,,,,,,,,,,,,,,,,0.4428571428571428,0.30999999999999994,0.38235294117647056,0.55,,0.25000000000000006,-0.0,0.7,,,,,,,,,,,,,,,,,,,,,,
2026-06-17,Basic Materials,7.0,2.0,5.0,4.0,4.0,2.0,4.0,8.0,6.0,2.0,15.17,12.48,7.830000000000001,,,,,,,,,,,,,,,,,,,0.7000000000000001,0.6300000000000001,0.7058823529411765,0.6714285714285715,,-0.016666666666666607,0.14285714285714285,0.9,,,,,,,,,,,,,,,,,,,,,,
2026-06-17,Communication Services,11.0,7.0,10.0,5.0,8.0,5.0,9.0,0.0,-1.0,-1.0,2.4499999999999997,-1.04,0.35,,,,,,,,,,,,,,,,,,,0.31428571428571433,0.17729174748872176,0.34117647058823536,0.25,,-0.25,-0.10714285714285714,0.5641101056459328,,,,,,,,,,,,,,,,,,,,,,
2026-06-17,Consumer Cyclical,10.0,5.0,8.0,7.0,11.0,11.0,11.0,4.0,2.0,0.0,4.85,3.7300000000000004,1.13,,,,,,,,,,,,,,,,,,,0.19999999999999998,0.12788897449072023,0.24117647058823527,0.2714285714285714,,0.31666666666666665,-0.0,0.6394448724536012,,,,,,,,,,,,,,,,,,,,,,
2026-06-17,Consumer Defensive,8.0,9.0,9.0,9.0,6.0,10.0,6.0,-8.0,-5.0,-1.0,-5.63,-4.9,-2.0700000000000003,,,,,,,,,,,,,,,,,,,0.2857142857142857,0.19999999999999998,0.2647058823529412,0.2642857142857143,,-0.06666666666666665,-0.07142857142857142,0.7,,,,,,,,,,,,,,,,,,,,,,
2026-06-17,Energy,5.0,11.0,11.0,11.0,2.0,4.0,1.0,-5.0,-6.0,0.0,-4.47,-9.75,-7.379999999999999,,,,,,,,,,,,,,,,,,,0.4571428571428572,0.04571428571428571,0.3411764705882353,0.35714285714285715,,-0.5333333333333333,-0.03571428571428571,0.09999999999999998,,,,,,,,,,,,,,,,,,,,,,
2026-06-17,Financial,2.0,4.0,2.0,3.0,9.0,6.0,8.0,0.0,0.0,2.0,2.35,3.76,3.9899999999999998,,,,,,,,,,,,,,,,,,,0.6142857142857142,0.21147163350716286,0.6529411764705884,0.7142857142857144,,0.30000000000000004,0.32142857142857145,0.34425614756980005,,,,,,,,,,,,,,,,,,,,,,
2026-06-17,Healthcare,3.0,8.0,4.0,8.0,10.0,8.0,10.0,-5.0,-3.0,-1.0,-3.3800000000000003,-1.19,-0.43000000000000016,,,,,,,,,,,,,,,,,,,0.37142857142857144,0.1748870454637733,0.3764705882352941,0.4714285714285714,,0.2666666666666667,-0.21428571428571427,0.47084973778708195,,,,,,,,,,,,,,,,,,,,,,
2026-06-17,Industrials,4.0,1.0,1.0,2.0,3.0,3.0,3.0,7.0,6.0,0.0,10.82,10.67,8.88,,,,,,,,,,,,,,,,,,,0.8571428571428571,0.7086813593512391,0.888235294117647,0.8642857142857145,,0.16666666666666663,0.07142857142857142,0.8267949192431123,,,,,,,,,,,,,,,,,,,,,,
2026-06-17,Real Estate,9.0,10.0,6.0,6.0,5.0,9.0,5.0,-8.0,-3.0,-1.0,-5.4399999999999995,-0.36000000000000004,-2.380000000000001,,,,,,,,,,,,,,,,,,,0.38571428571428573,0.34714285714285714,0.42352941176470593,0.29285714285714287,,-0.13333333333333336,-0.07142857142857142,0.9,,,,,,,,,,,,,,,,,,,,,,
2026-06-17,Technology,1.0,3.0,3.0,1.0,1.0,1.0,2.0,8.0,3.0,0.0,13.5,5.35,4.830000000000002,,,,,,,,,,,,,,,,,,,0.9285714285714286,0.7428571428571429,0.9176470588235295,0.9071428571428573,,-0.19999999999999996,-0.03571428571428571,0.8,,,,,,,,,,,,,,,,,,,,,,
2026-06-17,Utilities,6.0,6.0,7.0,10.0,7.0,7.0,7.0,-1.0,1.0,0.0,1.27,4.489999999999999,1.0999999999999996,,,,,,,,,,,,,,,,,,,0.3857142857142857,0.26999999999999996,0.34705882352941175,0.4357142857142858,,0.15000000000000002,-0.0,0.7,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,Basic Materials,10.0,4.0,4.0,4.0,4.0,2.0,4.0,6.0,7.0,0.0,5.6,10.28,1.9899999999999984,,,,,,,,,,,,,,,,,,,0.6428571428571429,0.6428571428571428,0.6882352941176472,0.5428571428571429,,-0.06666666666666665,0.11904761904761904,0.9999999999999998,-1.8900000000000001,0.55,1.58,-3.9800000000000004,6.16,17.000000000000004,4.859999999999999,0.7142857142857143,0.3333333333333333,0.23809523809523808,,,0.33333333333333337,0,1,1,0,1,1,1,,
2026-06-18,Communication Services,3.0,6.0,9.0,5.0,8.0,4.0,8.0,3.0,1.0,0.0,4.41,0.9300000000000006,0.9200000000000002,,,,,,,,,,,,,,,,,,,0.48571428571428565,0.3105875094774634,0.44705882352941173,0.5357142857142857,,-0.18333333333333335,-0.05952380952380952,0.6394448724536012,0.19999999999999996,-0.2899999999999999,-6.32,-6.58,-6.87,-0.05999999999999872,-7.6499999999999995,0.14285714285714285,1.0,0.14285714285714285,,,0.0,1,0,0,0,0,0,0,,
2026-06-18,Consumer Cyclical,2.0,7.0,8.0,6.0,11.0,9.0,11.0,0.0,0.0,0.0,2.06,3.1700000000000004,0.3799999999999999,,,,,,,,,,,,,,,,,,,0.3285714285714286,0.18535046328366367,0.311764705882353,0.4642857142857143,,0.11666666666666667,-0.0,0.5641101056459328,0.79,-0.78,-1.8,-6.84,-15.25,-16.95,-13.54,0.14285714285714285,1.0,0.14285714285714285,,,0.0,1,0,0,0,0,0,0,,
2026-06-18,Consumer Defensive,8.0,8.0,10.0,9.0,6.0,11.0,6.0,-7.0,-4.0,0.0,-5.859999999999999,-3.95,-2.37,,,,,,,,,,,,,,,,,,,0.2714285714285714,0.17356360823740602,0.24117647058823527,0.27142857142857146,,-0.0333333333333333,-0.05952380952380952,0.6394448724536012,-1.23,-3.4299999999999997,-6.98,-12.25,-5.42,-19.979999999999997,-3.2299999999999995,0.0,1.0,0.0,,,0.0,0,0,0,0,0,0,0,,
2026-06-18,Energy,11.0,11.0,11.0,11.0,2.0,5.0,3.0,-3.0,-4.0,-2.0,-3.32,-9.59,-7.609999999999999,,,,,,,,,,,,,,,,,,,0.32857142857142857,0.03285714285714285,0.27058823529411763,0.16428571428571428,,-0.5,-0.17857142857142858,0.09999999999999998,-2.16,-7.18,-13.709999999999999,-22.43,13.48,-2.789999999999999,10.49,0.2857142857142857,0.3333333333333333,0.09523809523809523,,,-0.3333333333333333,0,0,0,0,1,0,1,,
2026-06-18,Financial,7.0,3.0,3.0,3.0,9.0,6.0,9.0,1.0,0.0,1.0,1.3800000000000003,3.4000000000000004,2.23,,,,,,,,,,,,,,,,,,,0.5285714285714286,0.21142857142857144,0.6000000000000001,0.5785714285714285,,0.30000000000000004,0.23809523809523808,0.4,-1.1400000000000001,1.0200000000000002,4.01,-1.0999999999999996,-7.75,-9.29,-7.97,0.2857142857142857,0.3333333333333333,0.09523809523809523,,,1.0,0,1,1,0,0,0,0,,
2026-06-18,Healthcare,9.0,10.0,5.0,8.0,10.0,8.0,10.0,-7.0,-4.0,-1.0,-3.4699999999999998,-2.3099999999999996,-2.2600000000000002,,,,,,,,,,,,,,,,,,,0.24285714285714288,0.13699816851401225,0.29411764705882354,0.2285714285714286,,0.11666666666666667,-0.17857142857142858,0.5641101056459328,-1.4,-3.5,-0.15999999999999992,-10.469999999999999,-12.09,-12.079999999999998,-12.17,0.0,1.0,0.0,,,0.0,0,0,0,0,0,0,0,,
