date,session,collected_at,ticker,group,list_category,trigger,stop,atr,price,open,high,low,change,status,atr_from_lod,reclaim_ref,reclaim_ref_value,RSI,Volatility W,Volatility M,Rel Volume,52W High,Price,SMA20,SMA50,ATR
2026-09-03,morning,2026-09-03T14:06:56Z,KEX,Marine Shipping,all_green,142.33,139.33,3.59,142.61,142.22,143.36,142.07,0.7,triggered,0.15041782729805583,,,59.09,2.35%,2.50%,0.25,-9.56%,142.61,3.02%,2.71%,3.46
2026-09-03,morning,2026-09-03T14:06:56Z,KNTK,Oil & Gas Midstream,rs_new_high,54.99,54.1,1.48,54.35,54.15,54.47,53.53,0.43,reclaim,0.5540540540540543,prior_low,54.1,58.25,2.46%,2.73%,0.24,-3.11%,54.35,1.64%,6.40%,1.44
2026-09-03,morning,2026-09-03T14:06:56Z,KRYS,Biotechnology,leaders,373.19,360.86,12.27,370.36,371.76,373.31,365.55,0.31,failed_breakout,0.3920130399348005,,,63.13,2.98%,3.08%,0.35,-3.18%,370.36,7.30%,5.89%,11.95
2026-09-03,morning,2026-09-03T14:06:56Z,KYMR,Biotechnology,leaders,123.54,117.42,4.97,117.17,118.65,118.71,116.21,-1.23,invalidated,0.1931589537223356,,,51.41,3.94%,4.04%,0.56,-9.90%,117.17,-1.05%,2.75%,4.79
2026-09-03,morning,2026-09-03T14:06:56Z,LYV,,watchlist,180.65,177.33,4.15,177.76,181.3,180.33,177.77,-1.02,gapped_through,-0.002409638554221524,,,44.35,1.97%,2.09%,1.04,-6.07%,177.76,-2.64%,-2.12%,4.04
2026-09-03,morning,2026-09-03T14:06:56Z,MANU,,watchlist,21.8,21.2,0.66,21.23,21.34,21.45,21.19,-0.05,setting_up,0.06060606060605931,,,35.01,3.02%,3.11%,0.74,-13.17%,21.23,-6.77%,-6.17%,0.64
2026-09-03,morning,2026-09-03T14:06:56Z,MATX,Marine Shipping,all_green,221.03,217.65,5.82,218.05,219.63,221.0,218.05,-0.07,setting_up,0.0,,,53.13,1.96%,2.62%,1.03,-5.50%,218.05,0.13%,3.28%,5.62
2026-09-03,morning,2026-09-03T14:06:56Z,MDGL,Biotechnology,leaders,551.45,537.09,20.32,546.55,548.64,552.08,542.3,-0.07,failed_breakout,0.2091535433070866,,,57.38,2.88%,3.58%,0.24,-11.13%,546.55,3.62%,3.29%,19.57
2026-09-03,morning,2026-09-03T14:06:56Z,MEDP,Diagnostics & Research,leaders,593.72,581.78,18.08,596.73,601.78,599.08,591.59,0.63,gapped_through,0.28429203539822934,,,52.94,2.35%,2.69%,0.42,-11.97%,596.73,-0.69%,4.20%,17.33
2026-09-03,morning,2026-09-03T14:06:56Z,MGY,Oil & Gas E&P,rs_new_high,27.81,27.37,0.82,27.05,27.4,27.43,26.91,-1.21,invalidated,0.17073170731707388,,,53.72,2.60%,2.71%,0.55,-17.43%,27.05,1.11%,3.86%,0.80
2026-09-03,morning,2026-09-03T14:06:56Z,MPLX,Oil & Gas Midstream,rs_new_high,59.65,58.78,0.95,59.6,59.33,59.67,59.04,1.03,failed_breakout,0.5894736842105287,,,56.80,1.35%,1.56%,0.41,-2.22%,59.60,0.93%,2.52%,0.93
2026-09-03,morning,2026-09-03T14:06:56Z,MTD,Diagnostics & Research,leaders,1398.13,1357.19,35.59,1342.06,1376.16,1387.32,1343.78,-1.88,invalidated,-0.04832818207361694,,,38.24,2.49%,2.32%,0.45,-12.01%,1342.06,-4.51%,-1.19%,36.16
