date,session,collected_at,ticker,group,list_category,trigger,stop,atr,price,open,high,low,change,status,atr_from_lod,reclaim_ref,reclaim_ref_value,RSI,Volatility W,Volatility M,Rel Volume,52W High,Price,SMA20,SMA50,ATR
2026-09-24,pre_close,2026-09-24T19:33:13Z,DBX,Software - Infrastructure,accel,34.31,33.3,1.31,32.81,32.86,33.76,32.42,-4.12,invalidated,0.2977099236641226,,,39.48,4.42%,3.32%,1.18,-14.04%,32.81,-7.42%,-3.24%,1.34
2026-09-24,pre_close,2026-09-24T19:33:13Z,DELL,Computer Hardware,all_green,570.72,542.23,32.02,544.01,534.45,549.85,530.45,-1.06,reclaim,0.42348532167395203,prior_low,542.23,55.81,4.89%,5.91%,0.89,-8.65%,544.01,3.61%,15.15%,31.12
2026-09-24,pre_close,2026-09-24T19:33:13Z,DHR,Diagnostics & Research,all_green,223.42,219.92,5.81,224.44,220.5,226.64,219.0,1.3,triggered,0.9363166953528396,,,68.79,2.81%,2.52%,1.03,-7.56%,224.44,6.38%,9.21%,5.94
2026-09-24,pre_close,2026-09-24T19:33:13Z,DINO,Oil & Gas Refining & Marketing,leaders,110.84,103.0,4.83,106.54,106.86,109.33,105.51,0.37,setting_up,0.21325051759834393,,,54.81,5.71%,4.45%,0.69,-10.01%,106.54,-0.72%,9.72%,4.76
2026-09-24,pre_close,2026-09-24T19:33:13Z,DOCN,Software - Infrastructure,accel,146.59,138.27,9.87,141.61,139.18,143.34,136.27,0.28,reclaim,0.5410334346504563,prior_low,138.27,60.36,7.89%,7.16%,0.34,-24.47%,141.61,13.63%,14.61%,9.67
2026-09-24,pre_close,2026-09-24T19:33:13Z,ENTG,Semiconductor Equipment & Materials,emerging,152.33,147.3,6.97,148.63,146.56,148.82,143.82,-1.52,reclaim,0.6901004304160692,prior_low,147.3,57.17,4.21%,3.83%,0.41,-20.49%,148.63,7.44%,6.77%,6.98
2026-09-24,pre_close,2026-09-24T19:33:13Z,FFIV,Software - Infrastructure,accel,462.0,452.17,14.04,453.15,452.13,457.7,450.67,-0.62,reclaim,0.17663817663817388,prior_low,452.17,67.30,3.38%,3.43%,0.51,-1.92%,453.15,8.79%,11.40%,13.54
2026-09-24,pre_close,2026-09-24T19:33:13Z,FTNT,Software - Infrastructure,accel,179.35,173.37,7.02,180.13,178.46,181.36,176.78,0.78,triggered,0.4772079772079764,,,65.61,4.18%,4.48%,0.50,0.43%,180.13,8.07%,11.65%,6.85
2026-09-24,pre_close,2026-09-24T19:33:13Z,GDDY,Software - Infrastructure,accel,98.16,92.37,4.76,101.5,97.22,110.35,94.71,5.31,triggered,1.4264705882352955,,,53.99,5.85%,4.21%,4.10,-29.68%,101.50,2.36%,5.42%,5.54
2026-09-24,pre_close,2026-09-24T19:33:13Z,GGB,Steel,leaders,5.03,4.87,0.17,4.8,4.87,4.9,4.78,-1.64,invalidated,0.1176470588235269,,,47.00,3.16%,3.19%,0.73,-7.34%,4.80,-2.52%,-0.49%,0.17
2026-09-24,pre_close,2026-09-24T19:33:13Z,GH,Diagnostics & Research,all_green,179.35,174.17,8.06,176.3,174.9,181.79,174.05,-0.01,reclaim,0.2791563275434243,prior_low,174.17,58.60,4.44%,5.01%,0.81,-3.93%,176.30,4.83%,8.62%,8.04
2026-09-24,pre_close,2026-09-24T19:33:13Z,GLW,Electronic Components,rs_new_high,160.56,153.6,8.6,154.18,150.72,156.3,149.6,-0.19,reclaim,0.5325581395348852,prior_low,153.6,49.70,4.49%,4.14%,0.34,-43.27%,154.18,0.74%,0.90%,8.46
2026-09-24,pre_close,2026-09-24T19:33:13Z,GRMN,Scientific & Technical Instruments,rs_new_high,288.22,283.09,6.94,293.92,286.3,294.97,284.57,2.2,triggered,1.3472622478386198,,,63.04,2.86%,2.27%,0.40,-6.48%,293.92,4.98%,4.03%,7.18
2026-09-24,pre_close,2026-09-24T19:33:13Z,GTLB,Software - Infrastructure,accel,49.8,48.39,2.15,48.17,48.91,49.24,48.01,-1.72,invalidated,0.07441860465116451,,,57.46,3.76%,4.43%,0.91,-13.29%,48.17,0.32%,15.87%,2.08
2026-09-24,pre_close,2026-09-24T19:33:13Z,HNGE,Health Information Services,leaders,94.28,89.75,4.14,92.4,91.52,93.6,90.39,0.14,setting_up,0.48550724637681286,,,53.72,3.68%,4.77%,0.85,-4.40%,92.40,0.31%,6.19%,4.07
2026-09-24,pre_close,2026-09-24T19:33:13Z,HPQ,Computer Hardware,all_green,32.72,31.6,1.62,31.51,32.0,32.57,31.24,-2.02,invalidated,0.16666666666666857,,,49.21,5.28%,5.35%,0.49,-13.02%,31.51,-2.76%,5.87%,1.60
2026-09-24,pre_close,2026-09-24T19:33:13Z,IONQ,Computer Hardware,all_green,46.05,41.63,2.68,44.33,41.56,45.66,41.33,4.21,reclaim,1.1194029850746268,prior_low,41.63,61.08,6.24%,5.77%,1.86,-47.63%,44.33,12.78%,12.38%,2.80
